asset_path,license,source_url,intended_use
# Asset bundle for synth tasks. See README.md for sourcing priority + structure + naming convention.
# source_url = full re-fetchable URL. Run scripts/utils/assets.sh build to re-pull from manifest.
# Filename rule: kebab-case content-descriptive (see README §"Naming convention"). NEVER use NASA catalog ID alone.
photos/space/earth-blue-marble-apollo17.jpg,PD-NASA,https://images-assets.nasa.gov/image/as17-148-22727/as17-148-22727~orig.jpg,Apollo 17 "Blue Marble" Earth photo (4579x4579) — high-res landscape
photos/space/earthrise-apollo8.jpg,PD-NASA,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/NASA-Apollo8-Dec24-Earthrise.jpg/1280px-NASA-Apollo8-Dec24-Earthrise.jpg,Apollo 8 Earthrise — Earth rising over lunar horizon (William Anders, 1968)
photos/space/europa-ice-surface.jpg,PD-NASA,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Europa_in_natural_color.png/1280px-Europa_in_natural_color.png,Jupiter moon Europa natural-color disk (icy cracked surface)
photos/space/io-volcanic-eruption.jpg,PD-NASA,https://upload.wikimedia.org/wikipedia/commons/e/e4/Io_Volcanic_Eruption_Galileo.png,Jupiter moon Io volcanic eruption (Galileo)
photos/space/jupiter-full-disk.jpg,PD-NASA,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Jupiter%2C_image_taken_by_NASA%27s_Hubble_Space_Telescope%2C_June_2019_-_Edited.jpg/1280px-Jupiter%2C_image_taken_by_NASA%27s_Hubble_Space_Telescope%2C_June_2019_-_Edited.jpg,Jupiter full-disk Hubble view (June 2019)
photos/space/mars-rover-vista.jpg,PD-NASA,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/PIA25176-MarsCuriosityRover-GatorBackRocks-20220323.jpg/1280px-PIA25176-MarsCuriosityRover-GatorBackRocks-20220323.jpg,Mars rover vista — Curiosity GatorBack rocks panorama
photos/space/mars-curiosity-panorama.jpg,PD-NASA,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Panorama_of_Vera_Rubin_Ridge_NASA_PIA22545.jpg/1280px-Panorama_of_Vera_Rubin_Ridge_NASA_PIA22545.jpg,Mars Curiosity rover panorama — Vera Rubin Ridge
photos/space/saturn-moon-titan.jpg,PD-NASA,https://upload.wikimedia.org/wikipedia/commons/4/45/Titan_in_true_color.jpg,Saturn moon Titan with hazy atmosphere (Cassini true color)
photos/nature/galaxy-andromeda.jpg,PD-NASA,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Andromeda_Galaxy_%28with_h-alpha%29.jpg/1280px-Andromeda_Galaxy_%28with_h-alpha%29.jpg,Andromeda galaxy spiral disk (Hα composite)
photos/nature/galaxy-hubble.jpg,PD-NASA,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Hubble_ultra_deep_field.jpg/1280px-Hubble_ultra_deep_field.jpg,Hubble Ultra-Deep Field — distant galaxies
photos/portrait/astronaut-apollo11-crew.jpg,PD-NASA,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Apollo_11_Crew.jpg/1280px-Apollo_11_Crew.jpg,Apollo 11 crew portrait (Armstrong / Collins / Aldrin)
photos/architecture/nasa-facility.jpg,PD-NASA,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/VAB_exterior_and_LCC.jpg/1280px-VAB_exterior_and_LCC.jpg,NASA Vehicle Assembly Building exterior — Kennedy Space Center
